Date,ISPO
"Nov 27, 2023",9.70
"Nov 24, 2023",9.70
"Nov 22, 2023",9.70
"Nov 21, 2023",9.50
"Nov 20, 2023",9.40
"Nov 17, 2023",9.40
"Nov 16, 2023",10.28
"Nov 15, 2023",10.25
"Nov 14, 2023",10.00
"Nov 13, 2023",9.25
"Nov 10, 2023",8.70
"Nov 09, 2023",8.60
"Nov 08, 2023",8.31
"Nov 07, 2023",8.31
"Nov 06, 2023",8.31
"Nov 03, 2023",7.80
"Nov 02, 2023",8.25
"Nov 01, 2023",8.25
"Oct 31, 2023",8.25
"Oct 30, 2023",8.25
"Oct 27, 2023",8.25
"Oct 26, 2023",8.46
"Oct 25, 2023",8.00
"Oct 24, 2023",7.75
"Oct 23, 2023",8.31
"Oct 20, 2023",8.31
"Oct 19, 2023",8.31
"Oct 18, 2023",8.31
"Oct 17, 2023",8.23
"Oct 16, 2023",8.25
"Oct 13, 2023",8.25
"Oct 12, 2023",7.76
"Oct 11, 2023",8.43
"Oct 10, 2023",8.43
"Oct 09, 2023",8.43
"Oct 06, 2023",8.43
"Oct 05, 2023",8.56
"Oct 04, 2023",8.56
"Oct 03, 2023",8.52
"Oct 02, 2023",8.55
"Sep 29, 2023",8.55
"Sep 28, 2023",8.55
"Sep 27, 2023",8.55
"Sep 26, 2023",8.55
"Sep 25, 2023",8.55
"Sep 22, 2023",8.10
"Sep 21, 2023",8.45
"Sep 20, 2023",9.29
"Sep 19, 2023",9.29
"Sep 18, 2023",9.29
"Sep 15, 2023",9.29
"Sep 14, 2023",9.31
"Sep 13, 2023",9.31
"Sep 12, 2023",9.30
"Sep 11, 2023",9.30
"Sep 08, 2023",9.56
"Sep 07, 2023",9.56
"Sep 06, 2023",10.30
"Sep 05, 2023",10.30
"Sep 01, 2023",10.30
"Aug 31, 2023",10.30
"Aug 30, 2023",10.30
"Aug 29, 2023",10.30
"Aug 28, 2023",10.30
"Aug 25, 2023",10.30
"Aug 24, 2023",10.30
"Aug 23, 2023",10.30
"Aug 22, 2023",10.50
"Aug 21, 2023",11.24
"Aug 18, 2023",11.00
"Aug 17, 2023",10.29
"Aug 16, 2023",10.20
"Aug 15, 2023",10.09
"Aug 14, 2023",10.00
"Aug 11, 2023",9.50
"Jan 04, 2024",1.7000
"Jan 03, 2024",1.6500
"Jan 02, 2024",1.6300
"Dec 29, 2023",1.5500
"Dec 28, 2023",1.9300
"Dec 27, 2023",1.9400
"Dec 26, 2023",2.2600
"Dec 22, 2023",2.1700
"Dec 21, 2023",2.1200
"Dec 20, 2023",2.1400
"Dec 19, 2023",2.4600
"Dec 18, 2023",2.5200
"Dec 15, 2023",2.6700
"Dec 14, 2023",2.7900
"Dec 13, 2023",2.8100
"Dec 12, 2023",2.9100
"Dec 11, 2023",2.8900
"Dec 08, 2023",2.8400
"Dec 07, 2023",2.8300
"Dec 06, 2023",3.0100
"Dec 05, 2023",3.0000
"Dec 04, 2023",3.0000
"Dec 01, 2023",3.0300
"Nov 30, 2023",2.7100
"Nov 29, 2023",2.7100
"Nov 28, 2023",2.7000
"Nov 27, 2023",2.8400
"Nov 24, 2023",2.9200
"Nov 22, 2023",3.1600
"Nov 21, 2023",3.3100
"Nov 20, 2023",3.3010
"Nov 17, 2023",3.1200
"Nov 16, 2023",2.5000
"Nov 15, 2023",2.2000
"Nov 14, 2023",2.1600
"Nov 13, 2023",2.0400
"Nov 10, 2023",2.0000
"Nov 09, 2023",1.8700
"Nov 08, 2023",1.9300
"Nov 07, 2023",1.8800
"Nov 06, 2023",1.9000
"Nov 03, 2023",1.8900
"Nov 02, 2023",1.8300
"Nov 01, 2023",1.9900
"Oct 31, 2023",1.7100
"Oct 30, 2023",1.8150
"Oct 27, 2023",1.5100
"Oct 26, 2023",1.5900
"Oct 25, 2023",1.5900
"Oct 24, 2023",1.5600
"Oct 23, 2023",1.6100
"Oct 20, 2023",1.6400
"Oct 19, 2023",1.5700
"Oct 18, 2023",1.6300
"Oct 17, 2023",1.6300
"Oct 16, 2023",1.6500
"Oct 13, 2023",1.6420
"Oct 12, 2023",1.6300
"Oct 11, 2023",1.7100
"Oct 10, 2023",1.6600
"Oct 09, 2023",1.5500
"Oct 06, 2023",1.7200
"Oct 05, 2023",1.7700
"Oct 04, 2023",1.9800
"Oct 03, 2023",2.0600
"Oct 02, 2023",2.1100
"Sep 29, 2023",2.1600
"Sep 28, 2023",2.2300
"Sep 27, 2023",2.2400
"Sep 26, 2023",2.1200
"Sep 25, 2023",2.0400
"Sep 22, 2023",2.1030
"Sep 21, 2023",2.1200
"Sep 20, 2023",1.8600
"Sep 19, 2023",1.7900
"Sep 18, 2023",1.6700
"Sep 15, 2023",1.6100
"Sep 14, 2023",1.6700
"Sep 13, 2023",1.5200
"Sep 12, 2023",1.6100
"Sep 11, 2023",1.6100
